"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"86","CD8 TEM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","NK-Gene_symbol",1951,217,2.39,3.55e-37,3.78e-33,"41467_2022_30893_MOESM8_ESM $ NK-Gene_symbol",4
"87","CD8 TEM","PMC7924267","A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2","media-19.xlsx","up_3-feature",656,116,3.8,3.67e-37,3.84e-33,"media-19 $ up_3-feature",2
"88","CD4 TCM","PMC10581444","Single-cell RNA sequencing of liver fine-needle aspirates captures immune diversity in the blood and liver in chronic hepatitis B patients","hep-78-1525-s005.xlsx","marker_genes_-_CD8-Supplementary_table_All_marker_genes_for_CD8_T_cell_clusters",2147,264,2.15,2.12e-37,6.57e-33,"hep-78-1525-s005 $ marker_genes_-_CD8-Supplementary_table_All_marker_genes_for_CD8_T_cell_clusters",5
"89","CD8 TEM","PMC9553985","Evolution and modulation of antigen-specific T cell responses in melanoma patients","41467_2022_33720_MOESM6_ESM.xlsx","DEG_clusters_Huuhtanen-Unnamed_6",1843,209,2.44,6.98e-37,7.2e-33,"41467_2022_33720_MOESM6_ESM $ DEG_clusters_Huuhtanen-Unnamed_6",4
"90","CD4 TCM","PMC4636073","A multi-omic analysis of human naïve CD4+ T cells","12918_2015_225_MOESM21_ESM.xlsx","S_T_10-TCGA_Enriched_Sites-Unnamed_5",2480,289,2.04,4.37e-37,1.29e-32,"12918_2015_225_MOESM21_ESM $ S_T_10-TCGA_Enriched_Sites-Unnamed_5",5
"91","CD8 TEM","PMC10293012","Phenotypic diversity of T cells in human primary and metastatic brain tumors revealed by multiomic interrogation","43018_2023_566_MOESM2_ESM.xlsx","1B-Unnamed_7",1406,177,2.71,1.54e-36,1.56e-32,"43018_2023_566_MOESM2_ESM $ 1B-Unnamed_7",5
"92","CD4 TCM","PMC8960437","The Th1 cell regulatory circuitry is largely conserved between human and mouse","LSA-2021-01075_TableS3.xlsx","Table_S3-Human_ensembl_gene_id",2186,266,2.13,6.42e-37,1.81e-32,"LSA-2021-01075_TableS3 $ Table_S3-Human_ensembl_gene_id",5
"93","CD4 TCM","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S57-Table_S57",2060,256,2.18,6.88e-37,1.81e-32,"41467_2022_33780_MOESM3_ESM $ Table_S57-Table_S57",4
"94","CD4 TCM","PMC8960437","The Th1 cell regulatory circuitry is largely conserved between human and mouse","LSA-2021-01075_TableS3.xlsx","Table_S3-hgnc_symbol",2187,266,2.13,6.96e-37,1.81e-32,"LSA-2021-01075_TableS3 $ Table_S3-hgnc_symbol",5
"95","CD8 TEM","PMC9950534","Single-cell RNA sequencing identifies a population of human liver-type ILC1s","NIHMS1870503-supplement-2.xlsx","DEGs_cell_type_batch_1-Unnamed_0",2167,230,2.28,1.92e-36,1.92e-32,"NIHMS1870503-supplement-2 $ DEGs_cell_type_batch_1-Unnamed_0",4
"96","CD4 TCM","PMC10165782","Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing","40164_2023_402_MOESM3_ESM.csv","gene",2024,253,2.19,7.92e-37,1.98e-32,"40164_2023_402_MOESM3_ESM.csv $ gene",5
"97","CD16 Mono","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S52-Table_S52",2394,186,2.6,6.21e-38,2.02e-32,"41467_2022_33780_MOESM3_ESM $ Table_S52-Table_S52",5
"98","CD4 TCM","PMC9510055","Evidence of premature lymphocyte aging in people with low anti-spike antibody levels after BNT162b2 vaccination","mmc4.xlsx","Table_S3_1_CD4_DEGs-Supplemental_Table_3_1_related_to_Figure_4_Differentially_expressed_genes_in_CD4_cells_between_low_responders_versus_control",1522,211,2.43,1.35e-36,3.25e-32,"mmc4 $ Table_S3_1_CD4_DEGs-Supplemental_Table_3_1_related_to_Figure_4_Differentially_expressed_genes_in_CD4_cells_between_low_responders_versus_control",4
"99","CD8 TEM","PMC10293012","Phenotypic diversity of T cells in human primary and metastatic brain tumors revealed by multiomic interrogation","43018_2023_566_MOESM2_ESM.xlsx","1B-Supplementary_Table_1B_CD8_cluster-specific_genes_related_to_Fig_1",1415,177,2.69,3.58e-36,3.53e-32,"43018_2023_566_MOESM2_ESM $ 1B-Supplementary_Table_1B_CD8_cluster-specific_genes_related_to_Fig_1",5
"100","CD8 TEM","PMC9204588","CCL5-Secreting Virtual Memory CD8+ T Cells Inversely Associate With Viral Reservoir Size in HIV‐1−Infected Individuals on Antiretroviral Therapy","DataSheet_1.csv","gene",1339,171,2.74,5.3e-36,5.14e-32,"DataSheet_1.csv $ gene",4
"101","CD4 TCM","PMC9562361","Single cell analysis of cribriform prostate cancer reveals cell intrinsic and tumor microenvironmental pathways of aggressive disease","41467_2022_33780_MOESM3_ESM.xlsx","Table_S43-Table_S43",1967,247,2.2,3.64e-36,8.45e-32,"41467_2022_33780_MOESM3_ESM $ Table_S43-Table_S43",5
"102","CD8 TEM","PMC7646563","An atlas of immune cell exhaustion in HIV-infected individuals revealed by single-cell transcriptomics","TEMI_A_1826361_SM3404.xlsx","CD8_T-Unnamed_0",1267,165,2.8,1.05e-35,1e-31,"TEMI_A_1826361_SM3404 $ CD8_T-Unnamed_0",4
"103","CD8 TEM","PMC8692249","Single-Cell Transcriptome Analysis Reveals RGS1 as a New Marker and Promoting Factor for T-Cell Exhaustion in Multiple Cancers","DataSheet_2.xlsx","NSCLC_CD8-gene",1387,174,2.7,1.13e-35,1.07e-31,"DataSheet_2 $ NSCLC_CD8-gene",4
"104","CD4 TCM","PMC8181206","Single‐cell analyses reveal suppressive tumor microenvironment of human colorectal cancer","CTM2-11-e422-s005.xlsx","Sheet1-Table_S3_List_of_genes_that_are_differentially_expressed_in_imyeloid_cell_sub-clusters_related_to_Figure_4",2202,265,2.11,6.49e-36,1.45e-31,"CTM2-11-e422-s005 $ Sheet1-Table_S3_List_of_genes_that_are_differentially_expressed_in_imyeloid_cell_sub-clusters_related_to_Figure_4",5
"105","CD4 TCM","PMC10165782","Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing","40164_2023_402_MOESM3_ESM.csv","Unnamed_0",2066,254,2.15,9.18e-36,1.99e-31,"40164_2023_402_MOESM3_ESM.csv $ Unnamed_0",5
"106","CD4 TCM","PMC7505844","Single-cell sequencing reveals clonal expansions of pro-inflammatory synovial CD8 T cells expressing tissue-homing receptors in psoriatic arthritis","41467_2020_18513_MOESM5_ESM.xlsx","d_1607_SS2_5_10x_PB_SF_T_cells-gene",2444,283,2.03,1.14e-35,2.38e-31,"41467_2020_18513_MOESM5_ESM $ d_1607_SS2_5_10x_PB_SF_T_cells-gene",5
"107","CD14 Mono","PMC7672105","Chromatin accessibility landscapes of skin cells in systemic sclerosis nominate dendritic cells in disease pathogenesis","41467_2020_19702_MOESM8_ESM.xlsx","Sheet1-Unnamed_10",1784,175,2.7,1.52e-36,2.47e-31,"41467_2020_19702_MOESM8_ESM $ Sheet1-Unnamed_10",2
"108","CD8 TEM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S6-Unnamed_7",2083,222,2.29,2.88e-35,2.67e-31,"Data_Sheet_2 $ Table_S6-Unnamed_7",4
"109","CD4 TCM","PMC8181206","Single‐cell analyses reveal suppressive tumor microenvironment of human colorectal cancer","CTM2-11-e422-s005.xlsx","Sheet1-Unnamed_7",2173,262,2.11,1.38e-35,2.81e-31,"CTM2-11-e422-s005 $ Sheet1-Unnamed_7",5
"110","CD4 TCM","PMC7612139","Autocrine Vitamin D-signaling switches off pro-inflammatory programs of Th1 cells","EMS137571-supplement-Table_S4.xlsx","Table_S4B-Unnamed_3",1787,231,2.26,1.64e-35,3.23e-31,"EMS137571-supplement-Table_S4 $ Table_S4B-Unnamed_3",6
"111","CD8 TEM","PMC8042271","Disparate Interferon Signaling and Shared Aberrant Basaloid Cells in Single-Cell Profiling of Idiopathic Pulmonary Fibrosis and Systemic Sclerosis-Associated Interstitial Lung Disease","Table_1.xlsx","Cytotoxic_T_IPFvSSC-Unnamed_0",1125,153,2.92,3.72e-35,3.4e-31,"Table_1 $ Cytotoxic_T_IPFvSSC-Unnamed_0",3
"112","CD4 TCM","PMC9554086","A novel unconventional T cell population enriched in Crohn’s disease","gutjnl-2021-325373supp004.xlsx","D_all_marker_genes-Unnamed_1",1610,216,2.35,2.26e-35,4.32e-31,"gutjnl-2021-325373supp004 $ D_all_marker_genes-Unnamed_1",4
"113","CD8 TEM","PMC8789099","Single-cell immune profiling reveals functional diversity of T cells in tuberculous pleural effusion","JEM_20211777_TableS4.xlsx","subset_marker_list-Gene",1615,189,2.52,7.88e-35,7.11e-31,"JEM_20211777_TableS4 $ subset_marker_list-Gene",4
"114","CD8 TEM","PMC10011423","Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences","42003_2023_4623_MOESM5_ESM.xlsx","Maternal_CD8_Activated_T_Cells-Gene",1082,149,2.96,8.19e-35,7.28e-31,"42003_2023_4623_MOESM5_ESM $ Maternal_CD8_Activated_T_Cells-Gene",4
"115","CD4 TCM","PMC10025454","The molecular consequences of androgen activity in the human breast","mmc7.xlsx","lymphoid-Supplementary_Table_S6_Genes_found_differentially_expressed_between_trans-male_and_cis-female_samples_for_each_cell_type_related_to_Figures_2-7",2059,252,2.14,4.11e-35,7.62e-31,"mmc7 $ lymphoid-Supplementary_Table_S6_Genes_found_differentially_expressed_between_trans-male_and_cis-female_samples_for_each_cell_type_related_to_Figures_2-7",4
"116","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc3.xlsx","DORC_GWAS-Categorization_of_DORC_genes_based_on_GWAS_SNP-chromatin_accessibility_peak-overlap_related_to_Figure_5",1071,148,2.97,9.65e-35,8.21e-31,"mmc3 $ DORC_GWAS-Categorization_of_DORC_genes_based_on_GWAS_SNP-chromatin_accessibility_peak-overlap_related_to_Figure_5",3
"117","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc6.xlsx","FigR_Stim-FigR_GRN_testing_for_PBMC_resting_and_stimulation_data_related_to_Figure_5_and_Figures_S6",1071,148,2.97,9.65e-35,8.21e-31,"mmc6 $ FigR_Stim-FigR_GRN_testing_for_PBMC_resting_and_stimulation_data_related_to_Figure_5_and_Figures_S6",3
"118","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","CD4-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc4 $ CD4-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"119","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","NK-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc5 $ NK-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"120","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","CD8-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc5 $ CD8-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"121","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","B-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc4 $ B-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"122","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","NK-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc4 $ NK-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_NK_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"123","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","CD4-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc5 $ CD4-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_CD4_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"124","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","B-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc5 $ B-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_B_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"125","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","CD8-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc4 $ CD8-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_CD8_T_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"126","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc5.xlsx","Mono-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc5 $ Mono-Differential_testing_of_paired_DORC_gene_expression_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"127","CD8 TEM","PMC9534481","Functional inference of gene regulation using single-cell multi-omics","mmc4.xlsx","Mono-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",1072,148,2.97,1.07e-34,8.21e-31,"mmc4 $ Mono-Differential_testing_of_DORC_accessibility_scores_across_single_cells_for_annotated_Monocyte_cells_per_treatment_condition_with_respect_to_matched_control_DMSO_condition",3
"128","CD14 Mono","PMC9584034","Single-cell multiome of the human retina and deep learning nominate causal variants in complex eye diseases","mmc4.xlsx","Microglia-ISG15",2317,203,2.41,6.39e-36,8.3e-31,"mmc4 $ Microglia-ISG15",4
"129","CD4 TCM","PMC9258069","Integrated analysis reveals the dysfunction of signaling pathways in uveal melanoma","12885_2022_9822_MOESM6_ESM.xls","cluster0-metastaticVSprimary-gene",1812,232,2.24,5.04e-35,9.1e-31,"12885_2022_9822_MOESM6_ESM $ cluster0-metastaticVSprimary-gene",4
"130","CD4 TCM","PMC10300554","Comprehensive epigenomic profiling reveals the extent of disease-specific chromatin states and informs target discovery in ankylosing spondylitis","mmc6.xlsx","CD4-Unnamed_7",1789,230,2.25,5.75e-35,1.01e-30,"mmc6 $ CD4-Unnamed_7",4
"131","CD4 TCM","PMC8800483","Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing","CTM2-12-e689-s016.xlsx","7j_Tiger-Unnamed_1",2335,273,2.05,6.23e-35,1.05e-30,"CTM2-12-e689-s016 $ 7j_Tiger-Unnamed_1",5
"132","CD4 TCM","PMC9888347","Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma","41375_2023_1824_MOESM3_ESM.xlsx","8-ENSEMBL_ID",1901,239,2.2,6.3e-35,1.05e-30,"41375_2023_1824_MOESM3_ESM $ 8-ENSEMBL_ID",4
"133","CD4 TCM","PMC9888347","Th17.1 cell driven sarcoidosis-like inflammation after anti-BCMA CAR T cells in multiple myeloma","41375_2023_1824_MOESM3_ESM.xlsx","8-gene",1915,240,2.19,7.19e-35,1.17e-30,"41375_2023_1824_MOESM3_ESM $ 8-gene",4
"134","CD4 TCM","PMC7924267","A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2","media-19.xlsx","down_6-feature",2196,262,2.09,8.49e-35,1.32e-30,"media-19 $ down_6-feature",4
"135","CD4 TCM","PMC8800483","Molecular mechanisms governing circulating immune cell heterogeneity across different species revealed by single‐cell sequencing","CTM2-12-e689-s001.xlsx","9h_Tiger-Unnamed_1",1967,244,2.17,8.51e-35,1.32e-30,"CTM2-12-e689-s001 $ 9h_Tiger-Unnamed_1",5
"136","CD8 TEM","PMC9849137","Uncovering the mode of action of engineered T cells in patient cancer organoids","41587_2022_1397_MOESM9_ESM.xlsx","10T_SEvsNE_DEG-Unnamed_0",1513,181,2.57,1.8e-34,1.36e-30,"41587_2022_1397_MOESM9_ESM $ 10T_SEvsNE_DEG-Unnamed_0",5
"137","CD8 TEM","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","CD8T-Gene_symbol",1770,199,2.42,2.17e-34,1.62e-30,"41467_2022_30893_MOESM8_ESM $ CD8T-Gene_symbol",3
"138","CD4 TCM","PMC9800604","Dissecting CD8+ T cell pathology of severe SARS-CoV-2 infection by single-cell immunoprofiling","Table_2.xlsx","DEGs_CD8__CD73__Treg-CD8_CD73_regulatory_T_cells",2123,256,2.11,1.17e-34,1.77e-30,"Table_2 $ DEGs_CD8__CD73__Treg-CD8_CD73_regulatory_T_cells",4
"139","CD8 TEM","PMC7534589","Imbalance of Regulatory and Cytotoxic SARS-CoV-2-Reactive CD4+ T Cells in COVID-19","mmc5.xlsx","C_-_24_h_markers_per_cluster-Supplementary_Table_5C_Single-cell_cluster_enriched_genes_for_24_h_stimulation_condition",1933,210,2.33,2.54e-34,1.87e-30,"mmc5 $ C_-_24_h_markers_per_cluster-Supplementary_Table_5C_Single-cell_cluster_enriched_genes_for_24_h_stimulation_condition",4
"140","CD8 TEM","PMC9169737","Cellular and transcriptional diversity over the course of human lactation","pnas.2121720119.sd02.xlsx","T_cells-Supplemental_Dataset_2",803,125,3.35,2.69e-34,1.96e-30,"pnas.2121720119.sd02 $ T_cells-Supplemental_Dataset_2",3
"141","CD14 Mono","PMC7704697","A molecular cell atlas of the human lung from single cell RNA sequencing","NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx","Cluster_56-OLR1_Classical_Monocyte",723,105,4,1.97e-35,2.13e-30,"NIHMS1624031-supplement-1624031_Supp_Tab4 $ Cluster_56-OLR1_Classical_Monocyte",2
"142","CD8 TEM","PMC10514084","Sézary syndrome originates from heavily mutated hematopoietic progenitors","BLOODA_ADV-2022-008562-mmc3.xlsx","PreExh-gene",1892,207,2.35,3.27e-34,2.36e-30,"BLOODA_ADV-2022-008562-mmc3 $ PreExh-gene",5
"143","CD4 TCM","PMC10559315","Epstein-Barr virus evades restrictive host chromatin closure by subverting B cell activation and germinal center regulatory loci","NIHMS1928283-supplement-2.xls","Pred_Genes_Resting_not_Arrest-predicted_linked_genes",1838,233,2.22,1.65e-34,2.44e-30,"NIHMS1928283-supplement-2 $ Pred_Genes_Resting_not_Arrest-predicted_linked_genes",5
