Cell,Feature,p value,adjusted p value
CD14 Mono,MIR7976,2.7943E-07,1.42401E-05
CD14 Mono,ATF7,2.80529E-07,1.42654E-05
CD14 Mono,RAC1,2.82845E-07,1.43524E-05
CD14 Mono,LRRC37A3,2.88136E-07,1.45897E-05
CD14 Mono,PLD3,2.90319E-07,1.46688E-05
CD14 Mono,MAPK11,3.12116E-07,1.57366E-05
CD14 Mono,LMLN-AS1,3.18782E-07,1.60386E-05
CD14 Mono,LINC01108,3.30643E-07,1.66001E-05
CD14 Mono,TMED7,3.38853E-07,1.69049E-05
CD14 Mono,GRB7,3.38853E-07,1.69049E-05
CD14 Mono,C19orf70,3.38853E-07,1.69049E-05
CD14 Mono,NECTIN4,3.69713E-07,1.84056E-05
CD14 Mono,INTS1,3.77763E-07,1.8767E-05
CD14 Mono,SMIM14,3.88607E-07,1.92653E-05
CD14 Mono,PLAU,3.93444E-07,1.94644E-05
CD14 Mono,MEAK7,4.24297E-07,2.0947E-05
CD14 Mono,DDX60L,4.79705E-07,2.36332E-05
CD14 Mono,RYBP,4.94273E-07,2.43004E-05
CD14 Mono,LYRM2,5.05738E-07,2.48126E-05
CD14 Mono,PGS1,5.39886E-07,2.63854E-05
CD14 Mono,GGT7,5.40023E-07,2.63854E-05
CD14 Mono,KYNU,5.64165E-07,2.75083E-05
CD14 Mono,ID2,5.67928E-07,2.76349E-05
CD14 Mono,POMZP3,5.7727E-07,2.80319E-05
CD14 Mono,ZFHX3,5.79817E-07,2.8098E-05
CD14 Mono,LOC100505588,5.86284E-07,2.83534E-05
CD14 Mono,MIR28,5.95386E-07,2.87349E-05
CD14 Mono,TESMIN,6.38511E-07,3.07536E-05
CD14 Mono,C3orf67,6.41811E-07,3.08499E-05
CD14 Mono,JARID2,6.62778E-07,3.17932E-05
CD14 Mono,DLGAP1-AS1,6.7225E-07,3.21824E-05
CD14 Mono,UNC13A,7.26828E-07,3.47251E-05
CD14 Mono,XG,7.78118E-07,3.71007E-05
CD14 Mono,ZFP36L1,8.78649E-07,4.17287E-05
CD14 Mono,PLXDC2,8.78702E-07,4.17287E-05
CD14 Mono,RNF13,9.91684E-07,4.69999E-05
CD14 Mono,SLC23A3,1.03288E-06,4.87573E-05
CD14 Mono,PLCB3,1.03288E-06,4.87573E-05
CD14 Mono,CTTNBP2NL,1.07098E-06,5.04553E-05
CD14 Mono,GSDMA,1.11544E-06,5.24454E-05
CD14 Mono,PLIN2,1.22999E-06,5.69934E-05
CD14 Mono,NFKBIE,1.23157E-06,5.69934E-05
CD14 Mono,ATXN1L,1.23157E-06,5.69934E-05
CD14 Mono,CLUH,1.23157E-06,5.69934E-05
CD14 Mono,TMEM256,1.23157E-06,5.69934E-05
CD14 Mono,TVP23B,1.23157E-06,5.69934E-05
CD14 Mono,MIR4736,1.23157E-06,5.69934E-05
CD14 Mono,SNRNP70,1.23157E-06,5.69934E-05
CD14 Mono,GSE1,1.23381E-06,5.69934E-05
CD14 Mono,ST3GAL4,1.24842E-06,5.75562E-05
CD14 Mono,MIR103A2,1.26059E-06,5.80043E-05
CD14 Mono,PIK3R1,1.30958E-06,6.01416E-05
CD14 Mono,ZC3H12C,1.36468E-06,6.25509E-05
CD14 Mono,NCAPH,1.3856E-06,6.33872E-05
CD14 Mono,SLC37A2,1.51747E-06,6.92859E-05
CD14 Mono,XYLT1,1.52835E-06,6.96486E-05
CD14 Mono,RARRES1,1.53762E-06,6.99366E-05
CD14 Mono,USP28,1.57205E-06,7.13655E-05
CD14 Mono,TNFSF9,1.63274E-06,7.39793E-05
CD14 Mono,IL12RB1,1.651E-06,7.46638E-05
CD14 Mono,MBD3,1.67388E-06,7.54107E-05
CD14 Mono,RFXANK,1.67388E-06,7.54107E-05
CD14 Mono,PTPRE,1.79315E-06,8.06305E-05
CD14 Mono,ZRANB1,1.81098E-06,8.1278E-05
CD14 Mono,RHO,1.82561E-06,8.17796E-05
CD14 Mono,EIF4G3,1.89764E-06,8.48461E-05
CD14 Mono,CLEC7A,1.98894E-06,8.87075E-05
CD14 Mono,RABAC1,1.99149E-06,8.87075E-05
CD14 Mono,ENOSF1,1.99698E-06,8.8785E-05
CD14 Mono,POLA2,2.02245E-06,8.9749E-05
CD14 Mono,ADCY9,2.0559E-06,9.10631E-05
CD14 Mono,PAQR4,2.09768E-06,9.27402E-05
CD14 Mono,PRSS23,2.17226E-06,9.58584E-05
CD14 Mono,CLEC3B,2.18264E-06,9.61375E-05
CD14 Mono,ANKRD42,2.22364E-06,9.77618E-05
CD14 Mono,PCGF3,2.38987E-06,0.000104722
CD14 Mono,CD58,2.3908E-06,0.000104722
CD14 Mono,FBXO36,2.40669E-06,0.000105224
CD14 Mono,ICE1,2.47975E-06,0.000108107
CD14 Mono,DIAPH1,2.48176E-06,0.000108107
CD14 Mono,CPPED1,2.49338E-06,0.000108414
CD14 Mono,NKIRAS1,2.52113E-06,0.00010942
CD14 Mono,SWT1,2.55491E-06,0.000110629
CD14 Mono,CDCP1,2.55834E-06,0.000110629
CD14 Mono,LITAF,2.80481E-06,0.000121066
CD14 Mono,BCDIN3D-AS1,2.92266E-06,0.000125924
CD14 Mono,SPCS3,2.96314E-06,0.000127437
CD14 Mono,CLMN,3.02942E-06,0.000130051
CD14 Mono,CRYBA1,3.18015E-06,0.000136275
CD14 Mono,MIR6855,3.21898E-06,0.00013769
CD14 Mono,B3GALNT2,3.27491E-06,0.00013983
CD14 Mono,MSL2,3.39434E-06,0.000144668
CD14 Mono,CENPT,3.78491E-06,0.000161025
CD14 Mono,RNF24,4.1743E-06,0.000176279
CD14 Mono,KIF2C,4.20297E-06,0.000176279
CD14 Mono,EIF5B,4.20297E-06,0.000176279
CD14 Mono,POLR2J4,4.20297E-06,0.000176279
CD14 Mono,NRAV,4.20297E-06,0.000176279
CD14 Mono,MINDY2,4.20297E-06,0.000176279
CD14 Mono,MXRA7,4.20297E-06,0.000176279
CD14 Mono,C19orf44,4.20297E-06,0.000176279
CD14 Mono,AASS,4.2837E-06,0.000179348
CD14 Mono,AKNA,4.32696E-06,0.000180839
CD14 Mono,LOC100130298,4.38626E-06,0.000182995
CD14 Mono,SETD6,4.51856E-06,0.000188184
CD14 Mono,DSEL,4.52664E-06,0.000188189
CD14 Mono,SCN4A,4.64442E-06,0.000192748
CD14 Mono,TMEM63A,4.67006E-06,0.000193473
CD14 Mono,TAB2,4.7292E-06,0.000195581
CD14 Mono,IKZF1,4.79146E-06,0.000197811
CD14 Mono,LMO2,4.82549E-06,0.000198869
CD14 Mono,GAPLINC,4.91781E-06,0.000202322
CD14 Mono,SUPT5H,5.05321E-06,0.000207532
CD14 Mono,MC1R,5.10425E-06,0.000209265
CD14 Mono,RAN,5.14085E-06,0.000210402
CD14 Mono,DCUN1D3,5.23537E-06,0.000213901
CD14 Mono,SLC27A3,5.24583E-06,0.000213959
CD14 Mono,LOC399715,5.28208E-06,0.000214998
CD14 Mono,MTMR11,5.28944E-06,0.000214998
CD14 Mono,MIR6732,5.33333E-06,0.000216411
CD14 Mono,NCOR2,5.44034E-06,0.000220376
CD14 Mono,ZNF440,5.5708E-06,0.000225275
CD14 Mono,THEMIS2,5.69797E-06,0.000230025
CD14 Mono,LOC102723701,5.71907E-06,0.000230484
CD14 Mono,LINC02399,5.73081E-06,0.000230565
CD14 Mono,LINC00656,5.9314E-06,0.000238231
CD14 Mono,ZNF516,5.94678E-06,0.000238445
CD14 Mono,PRPSAP1,6.02209E-06,0.000241057
CD14 Mono,NRGN,6.51941E-06,0.000260524
CD14 Mono,DDX39A,6.56455E-06,0.000261886
CD14 Mono,LHPP,6.60367E-06,0.000262738
CD14 Mono,MROH8,6.60808E-06,0.000262738
CD14 Mono,KCNQ1,6.62233E-06,0.000262863
CD14 Mono,DRAM1,6.83641E-06,0.000270907
CD14 Mono,CAMKK2,6.92424E-06,0.00027393
CD14 Mono,LCP2,6.96466E-06,0.000275069
CD14 Mono,IL10,7.24249E-06,0.000285566
CD14 Mono,ZNF888,7.55776E-06,0.000297502
CD14 Mono,POMK,7.72954E-06,0.00030376
CD14 Mono,SEMA3C,8.26947E-06,0.00032444
CD14 Mono,STX1A,8.30935E-06,0.000325466
CD14 Mono,USP9X,8.47976E-06,0.000331592
CD14 Mono,TRIM25,8.51103E-06,0.000332267
CD14 Mono,UBAP1,8.55254E-06,0.000333338
CD14 Mono,CACNG6,8.65363E-06,0.000336724
CD14 Mono,PGM2,9.3149E-06,0.000361861
CD14 Mono,CNEP1R1,9.51953E-06,0.000369205
CD14 Mono,CALHM6,9.72075E-06,0.000376393
CD14 Mono,ABHD6,9.92742E-06,0.000383768
CD14 Mono,SH3PXD2A-AS1,1.0143E-05,0.000391465
CD14 Mono,MAN2A1,1.03102E-05,0.000397269
CD14 Mono,LYST,1.04429E-05,0.000401729
CD14 Mono,MAFA,1.05546E-05,0.000405367
CD14 Mono,TBP,1.08485E-05,0.000415983
CD14 Mono,ABRAXAS1,1.09084E-05,0.000417603
CD14 Mono,ATG4B,1.11943E-05,0.000427857
CD14 Mono,JUND,1.13831E-05,0.000434374
CD14 Mono,KHNYN,1.14062E-05,0.000434554
CD14 Mono,LOC105376468,1.1656E-05,0.000442918
CD14 Mono,PATL1,1.16631E-05,0.000442918
CD14 Mono,WRAP73,1.22024E-05,0.000462656
CD14 Mono,LRRFIP2,1.22991E-05,0.000465576
CD14 Mono,SPECC1L,1.23326E-05,0.000466025
CD14 Mono,ALDH3B1,1.23503E-05,0.000466025
CD14 Mono,ARIH2,1.23901E-05,0.000466154
CD14 Mono,LINC00964,1.2393E-05,0.000466154
CD14 Mono,C12orf80,1.2666E-05,0.000474945
CD14 Mono,PHRF1,1.26668E-05,0.000474945
CD14 Mono,PCBP1,1.30372E-05,0.000488059
CD14 Mono,ARHGAP27P1,1.31074E-05,0.000489913
CD14 Mono,RPL31,1.3128E-05,0.000489913
CD14 Mono,CHRNB4,1.32313E-05,0.000492991
CD14 Mono,CDC20,1.33526E-05,0.000494402
CD14 Mono,PI4KB,1.33526E-05,0.000494402
CD14 Mono,PSMC3,1.33526E-05,0.000494402
CD14 Mono,FANCA,1.33526E-05,0.000494402
CD14 Mono,UCN2,1.37755E-05,0.000509262
CD14 Mono,WDSUB1,1.40605E-05,0.000518991
CD14 Mono,PDLIM4,1.41374E-05,0.000521018
CD14 Mono,HAT1,1.42267E-05,0.000523493
CD14 Mono,LOC101928201,1.44739E-05,0.000531763
CD14 Mono,PRSS8,1.50257E-05,0.000550954
CD14 Mono,CD109,1.50621E-05,0.000550954
CD14 Mono,AMZ1,1.5066E-05,0.000550954
CD14 Mono,LOC100288866,1.51322E-05,0.000552522
CD14 Mono,CAMSAP1,1.59461E-05,0.000581347
CD14 Mono,MIR3164,1.7227E-05,0.000627078
CD14 Mono,MAF,1.74604E-05,0.000634601
CD14 Mono,ERCC4,1.76841E-05,0.000641746
CD14 Mono,BMS1P20,1.85702E-05,0.000672565
CD14 Mono,HLX,1.85901E-05,0.000672565
CD14 Mono,TSEN34,1.86282E-05,0.000672914
CD14 Mono,ST14,1.90361E-05,0.000686604
CD14 Mono,SMIM23,1.96732E-05,0.000708505
CD14 Mono,CTSD,2.00484E-05,0.000720919
CD14 Mono,MIR6796,2.01672E-05,0.000724093
CD14 Mono,DLX2,2.02784E-05,0.000726984
CD14 Mono,RGS6,2.03226E-05,0.000727468
CD14 Mono,CABLES2,2.04535E-05,0.000731049
CD14 Mono,FTH1,2.06024E-05,0.000735264
CD14 Mono,SMIM24,2.08296E-05,0.000742254
CD14 Mono,KMT2C,2.09811E-05,0.00074653
CD14 Mono,ERH,2.1337E-05,0.000758055
CD14 Mono,LINC01565,2.21802E-05,0.000786832
CD14 Mono,MIR1302-4,2.23033E-05,0.000790017
CD14 Mono,NEAT1,2.29423E-05,0.000811439
CD14 Mono,NUP93,2.30434E-05,0.000813799
CD14 Mono,TMEM52B,2.34715E-05,0.000827685
CD14 Mono,GIGYF2,2.44821E-05,0.000862038
CD14 Mono,RASA1,2.47542E-05,0.000870327
CD14 Mono,OTUB1,2.51223E-05,0.000881962
CD14 Mono,TMEM18,2.56199E-05,0.000898099
CD14 Mono,KHDRBS1,2.71487E-05,0.000950283
CD14 Mono,TMC4,2.74551E-05,0.000958784
CD14 Mono,MIR6730,2.74724E-05,0.000958784
CD14 Mono,PGM2L1,2.75668E-05,0.000960663
CD14 Mono,GOT1,2.79427E-05,0.000972331
CD14 Mono,MEGF9,2.81009E-05,0.000976402
CD14 Mono,TMEM130,2.85177E-05,0.000989434
CD14 Mono,DARS,2.92757E-05,0.00101425
CD14 Mono,KCNJ2-AS1,2.94109E-05,0.001016425
CD14 Mono,DESI1,2.94243E-05,0.001016425
CD14 Mono,CXCL3,3.07046E-05,0.001059107
CD14 Mono,BMS1P2,3.12127E-05,0.001075069
CD14 Mono,SUPT3H,3.15033E-05,0.001083502
CD14 Mono,MED9,3.40738E-05,0.001170213
CD14 Mono,TUBA1B,3.43697E-05,0.001178667
CD14 Mono,ENO1,3.49781E-05,0.001197798
CD14 Mono,PRX,3.52846E-05,0.001206549
CD14 Mono,C9orf47,3.53627E-05,0.001207479
CD14 Mono,HMG20B,3.54639E-05,0.001209192
CD14 Mono,SEMA4D,3.60498E-05,0.001227401
CD14 Mono,PSMB3,3.77313E-05,0.001282808
CD14 Mono,DSN1,3.80348E-05,0.001291276
CD14 Mono,ALKBH3,3.81993E-05,0.001295005
CD14 Mono,XRN1,3.8492E-05,0.001303065
CD14 Mono,DOK2,3.92391E-05,0.001326461
CD14 Mono,PEX10,3.97314E-05,0.001331703
CD14 Mono,LOC153684,3.97314E-05,0.001331703
CD14 Mono,TMEM134,3.97314E-05,0.001331703
CD14 Mono,IFI27L1,3.97314E-05,0.001331703
CD14 Mono,AFMID,3.97314E-05,0.001331703
CD14 Mono,ABHD17A,3.97314E-05,0.001331703
CD14 Mono,VDAC2,4.02593E-05,0.00134591
CD14 Mono,MIR4425,4.02991E-05,0.00134591
CD14 Mono,WARS,4.03256E-05,0.00134591
CD14 Mono,MIR7855,4.16783E-05,0.0013891
CD14 Mono,CD1D,4.19147E-05,0.001395018
CD14 Mono,HPS3,4.38468E-05,0.001457277
CD14 Mono,ZC3HC1,4.4605E-05,0.001480399
CD14 Mono,PTPN23,4.49917E-05,0.001489621
CD14 Mono,LINC02056,4.50086E-05,0.001489621
CD14 Mono,ZNF274,4.60064E-05,0.001520522
CD14 Mono,GJA3,4.64546E-05,0.001533197
CD14 Mono,KCNRG,4.71965E-05,0.001555516
CD14 Mono,SCGB1D4,4.73889E-05,0.001559686
CD14 Mono,STK11,4.81464E-05,0.001582422
CD14 Mono,MIR3616,5.02285E-05,0.001648567
CD14 Mono,AATF,5.04571E-05,0.001653777
CD14 Mono,HIST1H2BE,5.06645E-05,0.001658283
CD14 Mono,PIP5K1C,5.15612E-05,0.001685305
CD14 Mono,PLA2G4F,5.35368E-05,0.001747469
CD14 Mono,SHB,5.48942E-05,0.00178931
CD14 Mono,ASAH2,5.67202E-05,0.001846289
CD14 Mono,AKIRIN2,5.84386E-05,0.001899615
CD14 Mono,C5orf34,5.96966E-05,0.001937263
CD14 Mono,ADGRE2,5.97603E-05,0.001937263
CD14 Mono,RAPGEF6,5.9977E-05,0.001941634
CD14 Mono,IQSEC1,6.04556E-05,0.001954455
CD14 Mono,CUEDC1,6.40711E-05,0.002068518
CD14 Mono,LINC01511,6.44286E-05,0.002077229
CD14 Mono,C5orf56,6.69685E-05,0.002156186
CD14 Mono,MIR1303,6.73891E-05,0.002166783
CD14 Mono,KCNN3,6.77993E-05,0.00217702
CD14 Mono,OSTF1,6.98154E-05,0.002238721
CD14 Mono,DUS3L,7.15458E-05,0.002291109
CD14 Mono,MOCS3,7.23384E-05,0.002313364
CD14 Mono,ZNF808,7.73184E-05,0.00246929
CD14 Mono,PLXNC1,7.75481E-05,0.002473293
CD14 Mono,TMEM273,7.92125E-05,0.002522981
CD14 Mono,THBS1,7.95669E-05,0.002530867
CD14 Mono,MGST3,8.5856E-05,0.002727252
CD14 Mono,CTNNB1,8.79534E-05,0.002790136
CD14 Mono,DNMBP,8.99355E-05,0.002845396
CD14 Mono,NF1,8.99355E-05,0.002845396
CD14 Mono,LOC105373383,9.14197E-05,0.002888498
CD14 Mono,RFX5,9.28154E-05,0.00292869
CD14 Mono,NINJ1,9.32126E-05,0.002937313
CD14 Mono,SH2B3,9.71244E-05,0.003056516
CD14 Mono,EAF1,9.8085E-05,0.003082652
CD14 Mono,MIR4506,9.89482E-05,0.003105663
CD14 Mono,SLC39A13,0.000102541,0.003214159
CD14 Mono,ITGA9-AS1,0.000103878,0.003251782
CD14 Mono,PCCA,0.000104305,0.003260844
CD14 Mono,TIMP4,0.000104482,0.003262063
CD14 Mono,SLC16A1-AS1,0.000105958,0.003303805
CD14 Mono,LSM4,0.000106816,0.003326159
CD14 Mono,ATAD3A,0.000111654,0.003431719
CD14 Mono,KIAA2013,0.000111654,0.003431719
CD14 Mono,NAA50,0.000111654,0.003431719
CD14 Mono,SNRPC,0.000111654,0.003431719
CD14 Mono,ERLIN2,0.000111654,0.003431719
CD14 Mono,SUV39H2,0.000111654,0.003431719
CD14 Mono,GBF1,0.000111654,0.003431719
CD14 Mono,ARCN1,0.000111654,0.003431719
CD14 Mono,PPDPF,0.000111654,0.003431719
CD14 Mono,RRP7A,0.000111654,0.003431719
CD14 Mono,LY6K,0.00011284,0.003463679
CD14 Mono,SYTL3,0.000114463,0.003508971
CD14 Mono,PARVB,0.000114815,0.003515197
CD14 Mono,WWC3,0.000115188,0.003522072
CD14 Mono,NR2C2,0.000115558,0.003524324
CD14 Mono,ADORA2A-AS1,0.000115559,0.003524324
CD14 Mono,ARL14EP,0.000115938,0.003527022
CD14 Mono,ZBTB7C,0.000115945,0.003527022
CD14 Mono,SBK2,0.00011741,0.003566997
CD14 Mono,STX4,0.000118938,0.003608814
CD14 Mono,ZNF695,0.000119865,0.003627623
CD14 Mono,TRIM21,0.000119865,0.003627623
CD14 Mono,IL31RA,0.000120989,0.003656981
CD14 Mono,TRAF6,0.000121475,0.003667007
CD14 Mono,HPS5,0.000121697,0.003669011
CD14 Mono,MIER1,0.000122595,0.003691406
CD14 Mono,MIR200B,0.000123058,0.003700627
CD14 Mono,CEP19,0.000125435,0.003767333
CD14 Mono,ORMDL3,0.000126796,0.003803408
CD14 Mono,GPNMB,0.000127272,0.003812849
CD14 Mono,SDC1,0.000129148,0.003864167
CD14 Mono,TTLL4,0.000131803,0.003938626
CD14 Mono,AHNAK,0.000138151,0.004123114
CD14 Mono,KDM3B,0.000139814,0.004167507
CD14 Mono,SP9,0.000140405,0.004179865
CD14 Mono,RAP2B,0.000144261,0.004286598
CD14 Mono,U2AF2,0.000144352,0.004286598
CD14 Mono,LACTB,0.000145253,0.004307959
CD14 Mono,SKAP2,0.000145794,0.0043186
CD14 Mono,FAM114A1,0.000148386,0.004389902
CD14 Mono,SLC30A6,0.000149245,0.00440979
CD14 Mono,MUSK,0.000150516,0.004441809
CD14 Mono,MIR548AA2,0.00015711,0.004630647
CD14 Mono,SUZ12,0.000158357,0.004661602
CD14 Mono,LTBP4,0.000161433,0.004746256
CD14 Mono,ABCB6,0.000167125,0.004907525
CD14 Mono,P4HA2,0.000167901,0.004924209
CD14 Mono,RHBDF2,0.000170087,0.004982147
CD14 Mono,CACNA1C-IT3,0.000172582,0.005048985
CD14 Mono,MIR7846,0.000174749,0.005106085
CD14 Mono,DRAXIN,0.000175226,0.005113717
CD14 Mono,TGM3,0.000176853,0.005149464
CD14 Mono,YPEL2,0.000176886,0.005149464
CD14 Mono,CLCN6,0.000179755,0.00522656
CD14 Mono,FMNL3,0.000180851,0.005251997
CD14 Mono,ST3GAL2,0.000195901,0.005682102
CD14 Mono,LLGL1,0.000196383,0.005689099
CD14 Mono,CTDSP1,0.000200584,0.00579832
CD14 Mono,MIR6075,0.000200642,0.00579832
CD14 Mono,SNORA14A,0.00020316,0.005863937
CD14 Mono,HMGA1,0.000203779,0.00587465
CD14 Mono,LINC00365,0.000208803,0.006012165
CD14 Mono,TBC1D22A,0.000212873,0.006121898
CD14 Mono,LOC101928882,0.000213193,0.006123665
CD14 Mono,PROK2,0.000220696,0.006331531
CD14 Mono,LINC00598,0.000221607,0.006349961
CD14 Mono,EIF5,0.000222887,0.006371731
CD14 Mono,DHRS3,0.000222904,0.006371731
CD14 Mono,CPAMD8,0.000224272,0.0064031
CD14 Mono,ARHGAP17,0.000228213,0.006507781
CD14 Mono,LOC101927021,0.000233143,0.006640372
CD14 Mono,IFITM10,0.000233522,0.006643169
CD14 Mono,SDSL,0.000236193,0.006711105
CD14 Mono,AGTPBP1,0.000240046,0.006810596
CD14 Mono,MIR222,0.000240269,0.006810596
CD14 Mono,MIR6787,0.000240952,0.006821787
CD14 Mono,ACER3,0.000242216,0.006849408
CD14 Mono,H2AFX,0.000246297,0.006956494
CD14 Mono,GAK,0.000246806,0.006962578
CD14 Mono,ADGRE1,0.00025146,0.007085443
CD14 Mono,C2orf69,0.000253966,0.007139154
CD14 Mono,RBM38,0.000253969,0.007139154
CD14 Mono,ARHGAP26-AS1,0.000254978,0.00715234
CD14 Mono,TOP3B,0.000255042,0.00715234
CD14 Mono,MIR6821,0.000257342,0.007208321
CD14 Mono,MIR4436A,0.00025794,0.007216546
CD14 Mono,FLOT1,0.000260753,0.007286638
CD14 Mono,RELL1,0.000261826,0.007308004
CD14 Mono,SULF2,0.00026372,0.007352198
CD14 Mono,SLC36A4,0.000264764,0.007372374
CD14 Mono,IPO7,0.000265066,0.007372374
CD14 Mono,FHAD1,0.000267751,0.007438324
CD14 Mono,CYB5A,0.000274289,0.007611028
CD14 Mono,CDC42EP3,0.000276098,0.007646206
CD14 Mono,CPSF3,0.000276202,0.007646206
CD14 Mono,SLX4IP,0.000279163,0.00771918
CD14 Mono,ATP1B2,0.000285809,0.007893714
CD14 Mono,LINC02113,0.000287069,0.007912843
CD14 Mono,MIR3138,0.000287169,0.007912843
CD14 Mono,PHF2,0.000290516,0.00799578
CD14 Mono,FAM206A,0.000293841,0.00801284
CD14 Mono,TOR1B,0.000293841,0.00801284
CD14 Mono,RAD51-AS1,0.000293841,0.00801284
CD14 Mono,FAM214A,0.000293841,0.00801284
CD14 Mono,ZNF771,0.000293841,0.00801284
CD14 Mono,RNMT,0.000293841,0.00801284
CD14 Mono,ZNF765,0.000293841,0.00801284
CD14 Mono,OTUD5,0.000293841,0.00801284
CD14 Mono,FAM78B,0.000296706,0.008076432
CD14 Mono,PAX8,0.000296855,0.008076432
CD14 Mono,ACSBG2,0.000302199,0.00821239
CD14 Mono,P2RY1,0.000304071,0.008253795
CD14 Mono,RALGDS,0.000307615,0.008340442
CD14 Mono,INTS6L-AS1,0.000314119,0.00850705
CD14 Mono,LINC00870,0.000315997,0.008548146
CD14 Mono,GTF2IRD1,0.000331084,0.008946057
CD14 Mono,MAST2,0.000333467,0.008994285
CD14 Mono,ARHGAP22,0.000333628,0.008994285
CD14 Mono,MIR4285,0.000336594,0.00906393
CD14 Mono,C5orf66-AS2,0.000342511,0.00919954
CD14 Mono,PDLIM7,0.000342742,0.00919954
CD14 Mono,MIR129-1,0.000342794,0.00919954
CD14 Mono,VDR,0.000354254,0.009496328
CD14 Mono,NAPRT,0.000355898,0.009529609
CD14 Mono,TATDN1,0.000360506,0.009642124
CD14 Mono,TAOK3,0.000368248,0.009833894
CD14 Mono,PTPRH,0.00036851,0.009833894
CD14 Mono,ST7-AS2,0.000368921,0.009833894
CD16 Mono,RELB,4.2318E-106,1.0028E-101
CD16 Mono,ZHX1-C8orf76,6.93255E-85,8.21404E-81
CD16 Mono,TXNDC11,2.61834E-82,2.06823E-78
CD16 Mono,WDR81,2.75472E-81,1.63196E-77
CD16 Mono,MIR639,5.40887E-77,2.56348E-73
CD16 Mono,HMG20B,8.72366E-75,3.30943E-71
CD16 Mono,GBA,9.77592E-75,3.30943E-71
CD16 Mono,ALG1L2,7.06769E-69,2.09354E-65
CD16 Mono,PRMT1,1.23796E-66,3.25956E-63
CD16 Mono,SH3GLB2,2.26311E-65,5.36289E-62
CD16 Mono,XRCC4,1.99365E-60,4.29487E-57
CD16 Mono,GSK3B,6.439E-60,1.27154E-56
CD16 Mono,FKBP15,9.57115E-59,1.74467E-55
CD16 Mono,DTYMK,1.95535E-58,3.30971E-55
CD16 Mono,CAMTA1,2.34453E-52,3.70389E-49
CD16 Mono,INTS3,2.50365E-51,3.70807E-48
CD16 Mono,PPP4R3A,2.17825E-49,3.03635E-46
CD16 Mono,NDUFA11,2.34572E-49,3.08814E-46
CD16 Mono,NABP1,5.20726E-49,6.49455E-46
CD16 Mono,CARD19,1.12105E-48,1.32828E-45
CD16 Mono,CARS2,1.15477E-46,1.30307E-43
CD16 Mono,TREX1,5.55373E-45,5.98213E-42
CD16 Mono,LSM2,7.31743E-44,7.53918E-41
CD16 Mono,ATP1B3,8.79382E-44,8.68279E-41
CD16 Mono,LOC100996437,6.40426E-41,6.07047E-38
CD16 Mono,FZD5,7.03201E-41,6.40914E-38
CD16 Mono,MBTPS1,1.33122E-40,1.15232E-37
CD16 Mono,ENTPD4,1.36157E-40,1.15232E-37
CD16 Mono,DUSP28,3.03379E-40,2.47903E-37
CD16 Mono,BSDC1,3.31996E-40,2.62244E-37
CD16 Mono,MPPE1,4.55367E-40,3.48091E-37
CD16 Mono,CORO1C,6.70408E-40,4.96458E-37
CD16 Mono,MFN2,8.45746E-40,6.07322E-37
CD16 Mono,YBX1,9.66439E-40,6.7358E-37
CD16 Mono,CIB1,1.39824E-39,9.4669E-37
CD16 Mono,ROGDI,1.35717E-38,8.9336E-36
CD16 Mono,HNRNPA0,3.05206E-38,1.95472E-35
CD16 Mono,ADSS,3.97927E-37,2.45668E-34
CD16 Mono,SLC27A5,4.04314E-37,2.45668E-34
CD16 Mono,SUN2,5.78681E-37,3.37236E-34
CD16 Mono,ZFAND5,5.83479E-37,3.37236E-34
CD16 Mono,DNAJA2,7.02562E-37,3.96396E-34
CD16 Mono,TOR1AIP1,8.27096E-37,4.45448E-34
CD16 Mono,FAM102A,8.27096E-37,4.45448E-34
CD16 Mono,ATG5,1.47212E-36,7.75221E-34
CD16 Mono,NR4A3,3.52669E-35,1.81678E-32
CD16 Mono,MARCH2,2.68984E-34,1.3562E-31
CD16 Mono,ZFP41,2.93341E-34,1.44819E-31
CD16 Mono,SLC25A35,1.06449E-33,5.14802E-31
CD16 Mono,GMPS,4.60909E-33,2.18443E-30
CD16 Mono,CISH,5.8658E-33,2.72553E-30
CD16 Mono,C2CD3,6.06462E-33,2.76372E-30
CD16 Mono,CSRNP1,1.0618E-32,4.5748E-30
CD16 Mono,KATNB1,1.0618E-32,4.5748E-30
CD16 Mono,NCAPH2,1.0618E-32,4.5748E-30
CD16 Mono,CREBBP,2.36712E-32,1.00167E-29
CD16 Mono,B3GAT3,4.41953E-32,1.83736E-29
CD16 Mono,DHX29,1.1903E-31,4.70107E-29
CD16 Mono,ENDOG,1.1903E-31,4.70107E-29
CD16 Mono,AEN,1.1903E-31,4.70107E-29
CD16 Mono,HES4,3.84984E-31,1.49557E-28
CD16 Mono,POLR3E,5.98405E-31,2.28716E-28
CD16 Mono,G0S2,6.66744E-31,2.50791E-28
CD16 Mono,MSH5,4.07501E-30,1.50883E-27
CD16 Mono,PSMD9,1.64022E-28,5.97973E-26
CD16 Mono,LENG8-AS1,6.57502E-28,2.36073E-25
CD16 Mono,ABCA1,1.14921E-27,4.06459E-25
CD16 Mono,EIF2D,4.87994E-26,1.70059E-23
CD16 Mono,LOC101929066,6.07827E-26,2.08749E-23
CD16 Mono,ZBED5,9.54792E-26,3.23224E-23
CD16 Mono,CHMP4C,1.13218E-25,3.77877E-23
